scheme_code,scheme_name,isin_growth,isin_dividend
110284,IDFC Fixed Maturity Plan - MS 5  GROWTH,,
110285,Edelweiss Short Term Income Fund - Growth Option,INF754K01822,
110286,Edelweiss Short Term Income Fund - Institutional Plan - Growth Option,INF754K01855,
110287,Edelweiss Short Term Income Fund - Dividend Option,INF754K01830,INF754K01848
110288,Edelweiss Short Term Income Fund - Institutional Plan - Dividend Option,INF754K01863,INF754K01871
110289,Edelweiss Quarterly Interval Fund - Series 1 - Retail Plan - Growth Option,,
110290,Edelweiss Quarterly Interval Fund - Series 1 - Retail Plan - Dividend Option,,
110291,Edelweiss Quarterly Interval Fund - Series 1 - Institutional Plan - Growth Option,,
110292,Edelweiss Quarterly Interval Fund - Series 1 - Institutional Plan - Dividend Option,,
110293,DFC Fixed Maturity Plan - YS 26 B GROWTH,,
110294,IDFC Fixed Maturity Plan - YS 26 A DIVIDEND,,
110295,IDFC Fixed Maturity Plan - YS 26 A GROWTH,,
110296,DFC Fixed Maturity Plan - YS 26 B DIVIDEND,,
110297,Templeton Fixed Horizon Fund - Series XI - (Plan A) - 6 Months Plan - Dividend,,
110298,Templeton Fixed Horizon Fund - Series XI - (Plan A) - 6 Months Plan - Growth,,
110299,Templeton Fixed Horizon Fund - Series XI - Plan H - 19 Months Plan - Dividend,,
110300,Templeton Fixed Horizon Fund - Series XI - Plan H - 19 Months Plan - Growth,,
110301,ICICI Prudential Fixed Maturity Plan - Series 47 - One Year Plan B - Retail Dividend,,
110302,ICICI Prudential Fixed Maturity Plan - Series 47 - One Year Plan B - Institutional Growth,,
110303,ICICI Prudential Fixed Maturity Plan - Series 47 - One Year Plan B - Retail Growth,,
110304,ICICI Prudential Fixed Maturity Plan - Series 47 - One Year Plan B - Institutional Dividend,,
110305,ING Quarterly FMP 91 - Series A2-Retail Plan-Growth Option,,
110306,ING Quarterly FMP 91 - Series A2-Retail Plan-Dividend Option,,
110307,ING Quarterly FMP 91 - Series A2-Institutional Plan-Growth Option,,
110308,ING Quarterly FMP 91 - Series A2-Institutional Plan-Dividend Option,,
110309,Z-REDEEMED-SBI DEBT FUND SERIES - 370 DAYS -2 (19/09/2008) - INSTITUTIONAL GROWTH,,
110310,SBI DEBT FUND SERIES- 370 Days-2  (19/09/2008) - INSTITUTIONAL DIVIDEND,,
110311,SBI DEBT FUND SERIES - 370 DAYS-2-(19/09/2008) - RETAIL GROWTH,,
110312,SBI DEBT FUND SERIES -370 DAYS-2-(19/09/2008) RETAIL DIVIDEND,,
110313,DSP BlackRock FMP - 3M - Series 14 - Regular Plan - Growth,,
110314,DSP BlackRock FMP - 3M - Series 14 - Regular Plan - Dividend,,
110315,DSP BlackRock FMP - 3M - Series 14 - Institutional Plan - Growth,,
110316,DSP BlackRock FMP - 3M - Series 14 - Institutional Plan - Dividend,,
110317,DSP BlackRock FMP - 12M - Series 4 - Regular Plan - Dividend,,
110318,DSP BlackRock FMP - 12M - Series 4 - Regular Plan - Growth,,
110319,DSP BlackRock FMP - 12M - Series 4 - Institutional Plan - Growth,,
110320,DSP BlackRock FMP - 12M - Series 4 - Institutional Plan - Dividend,,
110321,ING Fixed Maturity Fund - Series 51-Retail Plan-Growth Option,,
110322,ING Fixed Maturity Fund - Series 51-Institutional Plan-Growth Option,,
110323,ING Fixed Maturity Fund - Series 51-Retail Plan-Dividend Option,,
110324,ING Fixed Maturity Fund - Series 51-Institutional Plan-Dividend Option,,
110325,ABN AMRO FIXED TERM PLAN - SERIES 14 -  PLAN A - Regular Plan - Growth Option,,
110326,ABN AMRO FIXED TERM PLAN - SERIES 14 -  PLAN A - Instl Plan - Calendar Yearly Dividend Option,,
110327,ABN AMRO FIXED TERM PLAN - SERIES 14 -  PLAN A - Regular Plan - Calendar Yearly Dividend Option,,
110328,ABN AMRO FIXED TERM PLAN - SERIES 14 -  PLAN A - Instl Plan - Calendar Half Yearly  Dividend Option,,
110329,ABN AMRO FIXED TERM PLAN - SERIES 14 - PLAN A - Instl Plan - Calendar Monthly Dividend Option,,
110330,ABN AMRO FIXED TERM PLAN - SERIES 14 -  PLAN A - Regular Plan - Calendar Quarterly Dividend Option,,
110331,ABN AMRO FIXED TERM PLAN - SERIES 14 -  PLAN A - Instl Plan - Growth Option,,
110332,ABN AMRO FIXED TERM PLAN - SERIES 14 - PLAN A - Regular Plan - Dividend on Maturity Option,,
110333,ABN AMRO FIXED TERM PLAN - SERIES 14 - PLAN A - Regular Plan - Calendar Monthly Dividend Option,,
110334,ABN AMRO FIXED TERM PLAN - SERIES 14 - PLAN A - Instl Plan - Dividend on Maturity Option,,
110335,ABN AMRO FIXED TERM PLAN - SERIES 14 -  PLAN A - Regular Plan - Calendar Half Yearly  Dividend Option,,
110336,ABN AMRO FIXED TERM PLAN - SERIES 14 -  PLAN A - Instl Plan - Calendar Quarterly Dividend Option,,
110337,HDFC FMP 90D September 2008 (4) - RETAIL PLAN GROWTH OPTION,,
110338,HDFC FMP 90D September 2008 (4) - RETAIL PLAN DIVIDEND OPTION,,
110339,HDFC FMP 90D September 2008 (4) - WHOLESALE PLAN DIVIDEND OPTION,,
110340,HDFC FMP 90D September 2008 (4) - WHOLESALE PLAN GROWTH OPTION,,
110341,DWS Fixed Term Fund-Sr 60 Reg Div,,
110342,DWS Fixed Term Fund-Sr 60 Inst Div,,
110343,DWS Fixed Term Fund-Sr 60 Reg Growth,,
110344,DWS Fixed Term Fund-Sr 60 Inst Growth,,
110345,ICICI Prudential Interval Fund IV - Quarterly Interval Plan B - Retail Dividend,INF109K01OG7,
110346,ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Growth,INF109K01OB8,
110347,ICICI Prudential Interval Fund IV Quarterly Interval Plan B -Dividend,INF109K01OD4,INF109K01OE2
110348,ICICI Prudential Interval Fund IV - Quarterly Interval Plan B - Retail Growth,INF109K01OF9,
110349,Tata Fixed Investment Plan - 4 - Scheme B - Regular Investment Plan - Growth,,
110350,Tata Fixed Investment Plan - 4 - Scheme B - Regular Investment Plan - Periodic Dividend,,
110351,Tata Fixed Investment Plan - 4 - Scheme B - High Investment Plan - Periodic Dividend,,
110352,Tata Fixed Investment Plan - 4 - Scheme B - High Investment Plan - Growth,,
110353,Tata Fixed Investment Plan - 4 - Scheme B - Super High Investment Plan - Growth,,
110354,Tata Fixed Investment Plan - 4 - Scheme B - Super High Investment Plan - Periodic Dividend,,
110355,Religare Quarterly Interval Fund Plan I - Institutional Growth,,
110356,Religare Quarterly Interval Fund Plan I - Institutional Dividend,,
110357,Religare Quarterly Interval Fund Plan I - Regular Dividend,,
110358,Religare Quarterly Interval Fund - Plan I -Regular Growth,,
110359,ICICI Prudential Fixed Maturity Plan - Series 46 - Six Months Plan B - Retail Growth,,
110361,ICICI Prudential Fixed Maturity Plan - Series 46 - Six Months Plan B - Retail Dividend,,
110362,ICICI Prudential Fixed Maturity Plan - Series 46 - Six Months Plan B - Institutional Dividend,,
110363,ICICI Prudential Fixed Maturity Plan - Series 48 - One Month Plan A - Retail Dividend Option,,
110364,ICICI Prudential Fixed Maturity Plan - Series 48 - One Month Plan A - Instituitional Growth Option,,
110365,ICICI Prudential Fixed Maturity Plan - Series 48 - One Month Plan A - Instituitional Dividend Option,,
110366,ICICI Prudential Fixed Maturity Plan - Series 48 - One Month Plan A - Retail Growth Option,,
110367,JM Fixed Maturity Fund - Series XIII - Yearly plan (JM FMF - XIII - Y) - Regular plan - Dividend option,,
110368,JM Fixed Maturity Fund - Series XIII - Yearly plan (JM FMF - XIII - Y) - Regular plan - Growth option,,
110369,JM Fixed Maturity Fund - Series XIII - Yearly plan (JM FMF - XIII - Y) - Institutional plan - Growth option,,
110370,JM Fixed Maturity Fund - Series XIII - Yearly plan (JM FMF - XIII - Y) - Institutional plan - Dividend option,,
110371,JM Fixed Maturity Fund - Series XIII - 18 Months plan 1 (JM FMF - XIII - 18M1) - Regular plan - Growth option,,
110372,JM Fixed Maturity Fund - Series XIII - 18 Months plan 1 (JM FMF - XIII - 18M1) - Institutional plan - Dividend option,,
110373,JM Fixed Maturity Fund - Series XIII - 18 Months plan 1 (JM FMF - XIII - 18M1) - Regular plan - Dividend option,,
110374,JM Fixed Maturity Fund - Series XIII - 18 Months plan 1 (JM FMF - XIII - 18M1) - Institutional plan - Growth option,,
110375,IDFC Fixed Maturity Plan - MS 6  GROWTH,,
110376,IDFC Fixed Maturity Plan - MS 6  DIVIDEND,,
110377,IDFC Fixed Maturity Plan - QS 43 GROWTH,,
110378,IDFC Fixed Maturity Plan - QS 43 DIVIDEND,,
110379,JM Fixed Maturity Fund - Series XIII - Monthly plan 2 (JM FMF - XIII - M2) - Regular plan - Growth option,,
110380,JM Fixed Maturity Fund - Series XIII - Monthly plan 2 (JM FMF - XIII - M2) - Regular plan - Dividend option,,
110381,JM Fixed Maturity Fund - Series XIII - Monthly plan 2 (JM FMF - XIII - M2) - Institutional plan - Dividend option,,
110382,JM Fixed Maturity Fund - Series XIII - Monthly plan 2 (JM FMF - XIII - M2) - Institutional plan - Growth option,,
110383,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Growth,INF109K01NX4,
110384,ICICI Prudential Interval Fund II Quarterly Interval Plan F - Dividend,INF109K01NZ9,INF109K01NY2
110389,DSP BlackRock FMP - 1M - Series 2 - Regular Plan - Growth,,
110390,DSP BlackRock FMP - 1M - Series 2 - Regular Plan - Dividend,,
110392,DSP BlackRock FMP - 1M - Series 2 - Institutional Plan - Dividend,,
110393,LICMF FIXED MATURITY PLAN SERIES 45 - DIVIDEND OPTION,,
110394,LICMF FIXED MATURITY PLAN SERIES 45 - GROWTH OPTION,,
110395,DSP BlackRock FMP - 3M - Series 15 - Regular Plan - Dividend,,
110396,DSP BlackRock FMP - 3M - Series 15 - Regular Plan - Growth,,
110397,DSP BlackRock FMP - 3M - Series 15 - Institutional Plan - Growth,,
110398,DSP BlackRock FMP - 3M - Series 15 - Institutional Plan - Dividend,,
110399,HSBC Fixed Term Series-66-Reg-Growth,,
110400,HSBC Fixed Term Series-66-Reg-Dividend,,
110401,HSBC Fixed Term Series-66-Inst-Dividend,,
110402,HSBC Fixed Term Series-66-Inst-Growth,,
110403,Birla Sun Life Fixed Term Plan - Series BG RETAIL GROWTH,,
110404,Birla Sun Life Fixed Term Plan - Series BG INSTITUTIONAL DIVIDEND,,
110405,Birla Sun Life Fixed Term Plan - Series BG RETAIL DIVIDEND,,
110406,Birla Sun Life Fixed Term Plan - Series BG INSTITUTIONAL GROWTH,,
110411,DSP World Gold Fund - Institutional Plan - Growth,INF740K01HA6,
110413,HDFC FMP 18M October 2008 (1) - WHOLESALE PLAN - NORMAL DIVIDEND OPTION,,
110414,HDFC FMP 18M October 2008 (1) - WHOLESALE PLAN - QUARTERLY DIVIDEND OPTION,,
110415,HDFC FMP 18M October 2008 (1) - RETAIL PLAN - NORMAL DIVIDEND OPTION,,
110416,HDFC FMP 18M October 2008 (1) - RETAIL PLAN - GROWTH OPTION,,
110417,HDFC FMP 18M October 2008 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION,,
110418,HDFC FMP 18M October 2008 (1) - WHOLESALE PLAN - GROWTH OPTION,,
110423,UTI-FTIF Series -V Plan VI ( 13 Mts) - Instn Growth Option,,
110424,UTI-FTIF Series -V Plan VI ( 13 Mts) - Dividend Option,,
110425,UTI-FTIF Series -V Plan VI ( 13 Mts) - Growth Option,,
110426,Kotak FMP 12M Series 9 - Retail Growth,,
110427,Kotak FMP 12M Series 9 - Retail Dividend,,
110428,Kotak FMP 12M Series 9 - Institutional Dividend,,
110429,Kotak FMP 12M Series 9 - Institutional Growth,,
110430,ING Fixed Maturity Fund - Series 52-Retail Plan-Growth Option,,
110431,ING Fixed Maturity Fund - Series 52-Institutional Plan-Growth Option,,
110432,ING Fixed Maturity Fund - Series 52-Institutional Plan-Dividend Option,,
110433,ING Fixed Maturity Fund - Series 52-Retail Plan-Dividend Option,,
110434,ING Yearly FMP 366 - Series A1-Retail Plan-Dividend Option,,
110435,ING Yearly FMP 366 - Series A1-Institutional Plan-Dividend Option,,
110436,ING Yearly FMP 366 - Series A1-Retail Plan-Growth Option,,
110437,ING Yearly FMP 366 - Series A1-Institutional Plan-Growth Option,,
110438,HSBC Dynamic Bond Fund - Regular Monthly IDCW,INF336L01529,INF336L01511
110439,HSBC Dynamic Bond Fund - Regular Monthly IDCW,INF336L01487,INF336L01479
110440,HSBC Dynamic Bond Fund - Regular Monthly IDCW,INF336L01560,INF336L01552
110441,ICICI Prudential Fixed Maturity Plan - Series 47 - One Year Plan C - Institutional Dividend,,
110442,ICICI Prudential Fixed Maturity Plan - Series 47 - One Year Plan C - Retail Dividend,,
110443,ICICI Prudential Fixed Maturity Plan - Series 47 - One Year Plan C - Retail Growth,,
110444,ICICI Prudential Fixed Maturity Plan - Series 47 - One Year Plan C - Institutional Growth,,
110445,Reliance Fixed Horizon Fund - X - Series 7 - Retail Plan-Growth Option,,
110446,Reliance Fixed Horizon Fund - X - Series 7 - Retail Plan-Dividend Option,,
110447,Reliance Fixed Horizon Fund - X - Series 7 - Super Institutional Plan-Growth Option,,
110448,Reliance Fixed Horizon Fund - X - Series 7 - Super Institutional Plan-Dividend Option,,
110449,Reliance Fixed Horizon Fund - X - Series 7 - Institutional Plan-Growth Option,,
110450,Reliance Fixed Horizon Fund - X - Series 7 - Institutional Plan-Dividend Option,,
110451,Reliance Fixed Horizon Fund - XII - Series 13 - Retail Plan-Dividend Option,,
110452,Reliance Fixed Horizon Fund - XII - Series 13 - Institutional Plan-Growth Option,,
110453,Reliance Fixed Horizon Fund - XII - Series 13 - Institutional Plan-Dividend Option,,
110454,Reliance Fixed Horizon Fund - XII - Series 13 - Super Institutional Plan-Dividend Option,,
110455,Reliance Fixed Horizon Fund - XII - Series 13 - Retail Plan-Growth Option,,
110456,Reliance Fixed Horizon Fund - XII - Series 13 - Super Institutional Plan-Growth Option,,
110457,HSBC Gilt Fund - Dividend - Weekly,,INF336L01743
110458,JM Fixed Maturity Fund - Series XIII - Monthly plan 3 (JM FMF - XIII - M3) - Regular plan - Dividend option,,
110459,JM Fixed Maturity Fund - Series XIII - Monthly plan 3 (JM FMF - XIII - M3) - Institutional plan - Dividend option,,
110460,JM Fixed Maturity Fund - Series XIII - Monthly plan 3 (JM FMF - XIII - M3) - Regular plan - Growth option,,
110461,JM Fixed Maturity Fund - Series XIII - Monthly plan 3 (JM FMF - XIII - M3) - Institutional plan - Growth option,,
110462,IDFC  50-50 Strategic Sector Fund-Regular Plan-Growth,INF194K01169,
110463,IDFC  50-50 Strategic Sector Fund-Regular Plan-Dividend,INF194K01326,INF194K01334
110464,Templeton Fixed Horizon Fund - Series X - Plan D - Growth,,
110465,Templeton Fixed Horizon Fund - Series X - Plan D - Dividend,,
110466,UTI F I I F Series II -Quarterly Interval Plan - VII - Instn Dividend Option,INF789F01EJ1,INF789F01EK9
110467,UTI F I I F Series II -Quarterly Interval Plan - VII - Instn Growth Option,INF789F01EL7,
110468,UTI F I I F Series II -Quarterly Interval Plan - VII - Regular Plan - Growth Option,INF789F01EI3,
110469,UTI FIIF Sr-2 Quarterly Interval Plan VII - Regular Plan - IDCW,INF789F01EG7,INF789F01EH5
110470,Canara Robeco Fixed Maturity Plan - Series 4 (Quarterly Plan - 1)- Institutional Plan - Growth,,
110471,Canara Robeco Fixed Maturity Plan - Series 4 (Quarterly Plan - 1)- Retail Plan - Dividend Payout,,
110472,Canara Robeco Fixed Maturity Plan - Series 4 (Quarterly Plan - 1) - Institutional Plan - Dividend Payout,,
110473,Canara Robeco Fixed Maturity Plan - Series 4 (Quarterly Plan - 1)- Retail Plan - Growth,,
110474,UTI-Short Term FMP Series-I -X (90Days) - Growth Option,,
110475,UTI-Short Term FMP Series-I -X (90Days) - Instn. Dividend Option,,
110476,UTI-Short Term FMP Series-I -X (90Days) - Dividend Option,,
110477,UTI-Short Term FMP Series-I -X (90Days) - Instn Growth Option,,
110478,ICICI Prudential Interval Fund IV - Quarterly Interval Plan C - Retail Dividend,,
110479,ICICI Prudential Interval Fund IV - Quarterly Interval Plan C - Institutional Dividend,,
110480,ICICI Prudential Interval Fund IV - Quarterly Interval Plan C - Institutional Growth,,
110481,ICICI Prudential Interval Fund IV - Quarterly Interval Plan C - Retail Growth,,
110482,JM Fixed Maturity Fund - Series XIV - Monthly plan 1 (JM FMF - XIV - M1) - Regular plan - Growth option,,
110483,JM Fixed Maturity Fund - Series XIV - Monthly plan 1 (JM FMF - XIV - M1) - Regular plan - Dividend option,,
110484,JM Fixed Maturity Fund - Series XIV - Monthly plan 1 (JM FMF - XIV - M1) - Institutional plan - Dividend option,,
110485,JM Fixed Maturity Fund - Series XIV - Monthly plan 1 (JM FMF - XIV - M1) - Institutional plan - Growth option,,
110486,Religare Quarterly Interval Fund Plan J - Institutional Dividend,,
110487,Religare Quarterly Interval Fund Plan J - Institutional Growth,,
110488,Religare Quarterly Interval Fund Plan J - Regular Dividend,,
110489,Religare Quarterly Interval Fund - Plan J -Regular Growth,,
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,INF209K01LR8,
110491,JM Fixed Maturity Fund - Series XIII - Quarterly plan 2 (JM FMF - XIII - Q2) - Regular plan - Growth option,,
110492,JM Fixed Maturity Fund - Series XIII - Quarterly plan 2 (JM FMF - XIII - Q2) - Regular plan - Dividend option,,
110493,JM Fixed Maturity Fund - Series XIII - Quarterly plan 2 (JM FMF - XIII - Q2) - Institutional plan - Growth option,,
110494,JM Fixed Maturity Fund - Series XIII - Quarterly plan 2 (JM FMF - XIII - Q2) - Institutional plan - Dividend option,,
110495,HSBC Fixed Term Series-68-Reg-Dividend,,
110496,HSBC Fixed Term Series-68-Inst-Dividend,,
110497,HSBC Fixed Term Series-68-Inst-Growth,,
110498,HSBC Fixed Term Series-68-Reg-Growth,,
110499,DSP BlackRock FMP - 3M - Series 16 - Regular Plan - Growth,,
110500,DSP BlackRock FMP - 3M - Series 16 - Regular Plan - Dividend,,
110501,DSP BlackRock FMP - 3M - Series 16 - Institutional Plan - Growth,,
110502,DSP BlackRock FMP - 3M - Series 16 - Institutional Plan - Dividend,,
110503,DSP BlackRock FMP - 1M - Series 3 - Regular Plan - Growth,,
110504,DSP BlackRock FMP - 1M - Series 3 - Regular Plan - Dividend,,
110505,DSP BlackRock FMP - 1M - Series 3 - Institutional Plan - Growth,,
110506,DSP BlackRock FMP - 1M - Series 3 - Institutional Plan - Dividend,,
110509,IDFC Fixed Maturity Plan - QS 44 GROWTH,,
110510,IDFC Fixed Maturity Plan - QS 44 DIVIDEND,,
110511,HDFC FMP 90D October 2008 (1) - RETAIL PLAN DIVIDEND OPTION,,
110512,HDFC FMP 90D October 2008 (1) - WHOLESALE PLAN GROWTH OPTION,,
110513,HDFC FMP 90D October 2008 (1) - WHOLESALE PLAN DIVIDEND OPTION,,
110514,HDFC FMP 90D October 2008 (1) - RETAIL PLAN GROWTH OPTION,,
110515,Aditya Birla Sun Life Government Seurities Fund - Short Term Plan - Daily Dividend - Regular Plan,INF209K01BB3,
110516,"Aditya Birla Sun Life Govt, Securities Short Term Fund-Retail Weekly Dividend Option",,
110517,Principal Pnb Fixed Maturity Plan 30 Days - Series III Regular Plan - Dividend,,
110518,Principal Pnb Fixed Maturity Plan 30 Days - III Institutional Plan - Growth,,
110519,Principal Pnb Fixed Maturity Plan 30 Days - Series III Regular Plan - Growth,,
110520,Principal Pnb Fixed Maturity Plan 30 Days - Series III Institutional Plan - Dividend,,
110521,IDFC Fixed Maturity Plan - MS 7 GROWTH,,
110522,IDFC Fixed Maturity Plan - MS 7 DIVIDEND,,
110523,HDFC FMP 181D October 2008 (1) - RETAIL PLAN DIVIDEND OPTION,,
110524,HDFC FMP 181D October 2008 (1) - WHOLESALE PLAN GROWTH OPTION,,
110525,HDFC FMP 181D October 2008 (1) - RETAIL PLAN GROWTH OPTION,,
110526,HDFC FMP 181D October 2008 (1) - WHOLESALE PLAN DIVIDEND OPTION,,
110527,HDFC FMP 90D October 2008 (2) - RETAIL PLAN DIVIDEND OPTION,,
110528,HDFC FMP 90D October 2008 (2) - WHOLESALE PLAN GROWTH OPTION,,
110529,HDFC FMP 90D October 2008 (2) - RETAIL PLAN GROWTH OPTION,,
110530,HDFC FMP 90D October 2008 (2) - WHOLESALE PLAN DIVIDEND OPTION,,
110531,HDFC FMP 370D October 2008 (1) - WHOLESALE PLAN - GROWTH OPTION,,
110533,HDFC FMP 370D October 2008 (1) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION,,
110535,HDFC FMP 370D October 2008 (1) - RETAIL PLAN - GROWTH OPTION,,
110536,HDFC FMP 370D October 2008 (1) - RETAIL PLAN - NORMAL DIVIDEND OPTION,,
110541,IDFC Fixed Maturity Plan - Nineteen Months Series 1 - Plan A- Dividend,,
110542,IDFC Fixed Maturity Plan - Nineteen Months Series 1 - Plan A- Growth,,
110543,IDFC Fixed Maturity Plan - Nineteen Months Series 1 - Plan B- Growth,,
110544,IDFC Fixed Maturity Plan - Nineteen Months Series 1 - Plan B- Dividend,,
110545,IDFC Fixed Maturity Plan - QS 45 DIVIDEND,,
110546,IDFC Fixed Maturity Plan - QS 45 GROWTH,,
110547,Templeton Fixed Horizon Fund - X - Plan E - 3 Months Plan - Dividend,,
110548,Templeton Fixed Horizon Fund - X - Plan E - 3 Months Plan - Growth,,
110549,Templeton Fixed Horizon Fund - Series XI - Plan D (367 days plan) - Dividend,,
110550,Templeton Fixed Horizon Fund - Series XI - Plan D (367 days plan) - Growth,,
110551,Birla Sun Life Fixed Term Plan - Series BH RETAIL GROWTH,,
110552,Birla Sun Life Fixed Term Plan - Series BH INSTITUTIONAL GROWTH,,
110553,Birla Sun Life Fixed Term Plan - Series BH INSTITUTIONAL DIVIDEND,,
110554,Birla Sun Life Fixed Term Plan - Series BH RETAIL DIVIDEND,,
110555,ICICI Prudential Interval Fund III Quarterly Interval - Growth,INF109K01MF3,
110556,ICICI Prudential Interval Fund III Quarterly Interval - Dividend,INF109K01MH9,INF109K01MG1
110557,HDFC FMP 18M October 2008 (2) - WHOLESALE PLAN - GROWTH OPTION,,
110559,HDFC FMP 18M October 2008 (2) - RETAIL PLAN - GROWTH OPTION,,
110560,HDFC FMP 18M October 2008 (2) - WHOLESALE PLAN - NORMAL DIVIDEND OPTION,,
110561,HDFC FMP 18M October 2008 (2) - RETAIL PLAN - NORMAL DIVIDEND OPTION,,
110562,HDFC FMP 18M October 2008 (2) - RETAIL PLAN - QUARTERLY DIVIDEND OPTION,,
110563,Tata Fixed Investment Plan - 3 Scheme A - Institutional Plan - Periodic Dividend,,
110564,Tata Fixed Investment Plan - 3 Scheme A - Institutional Plan - Monthly Dividend,,
110565,Tata Fixed Investment Plan - 3 Scheme A - Institutional Plan - Growth,,
110566,Tata Fixed Investment Plan - 3 Scheme A - Regular Plan - Monthly Dividend,,
110567,Tata Fixed Investment Plan - 3 Scheme A - Regular Plan - Periodic Dividend,,
110568,Tata Fixed Investment Plan - 3 Scheme A - Regular Plan - Growth,,
110569,Kotak Quarterly Interval Plan Series 9 - Dividend,INF174K01CH4,INF174K01CI2
110570,Kotak Quarterly Interval Plan Series 9 - Growth,INF174K01CG6,
110575,Kotak Treasury Advantage Fund -Daily Reinvestment of Income Distribution cum capital withdrawal option,INF174K01FE4,
110582,ICICI Prudential Fixed Maturity Plan - Series 48 - Three Years Plan A - Retail Dividend,,
110583,ICICI Prudential Fixed Maturity Plan - Series 48 - Three Years Plan A - Retail Growth,,
110584,ICICI Prudential Fixed Maturity Plan - Series 48 - Three Years Plan A - Institutional Growth,,
110585,ICICI Prudential Fixed Maturity Plan - Series 48 - Three Years Plan A - Institutional Dividend,,
110586,ICICI Prudential FMP series 44 - 18 Mths Plan - Retail Growth,,
110588,ICICI Prudential FMP series 44 - 18 Mths Plan - Institutional Growth,,
110589,ICICI Prudential FMP series 44 - 18 Mths Plan - Retail Dividend,,
110590,Canara Robeco Fixed Maturity Plan - Series 4 (Quarterly Plan - 2)- Retail Plan - Growth,,
110591,Canara Robeco Fixed Maturity Plan - Series 4 (Quarterly Plan - 2) - Institutional Plan - Dividend Payout,,
110592,Canara Robeco Fixed Maturity Plan - Series 4 (Quarterly Plan - 2)- Retail Plan - Dividend Payout,,
110593,Canara Robeco Fixed Maturity Plan - Series 4 (Quarterly Plan - 2)- Institutional Plan - Growth,,
110594,CANARA ROBECO FIXED MATURITY PLAN- Series 4 (19 months Plan) Retail Plan - Growth,,
110595,CANARA ROBECO FIXED MATURITY PLAN- Series 4 (19 months Plan) Institutional Plan - Dividend Payout,,
110596,CANARA ROBECO FIXED MATURITY PLAN- Series 4 (19 months Plan) Institutional Plan - Growth,,
110597,CANARA ROBECO FIXED MATURITY PLAN- Series 4 (19 months Plan) Retail Plan - Dividend Payout,,
110598,BANK OF INDIA Large & Mid Cap Fund Regular Plan- Quarterly IDCW,INF761K01116,INF761K01124
110599,BANK OF INDIA Large & Mid Cap Fund Eco Plan- Growth,INF761K01041,
110601,BANK OF INDIA Large & Mid Cap Fund Eco Plan-Bonus,INF761K01017,
110603,BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth,INF761K01108,
110604,BANK OF INDIA Large & Mid Cap Fund Eco Plan-Quarterly IDCW,INF761K01058,INF761K01066
110606,BANK OF INDIA Large & Mid Cap Fund Regular Plan-Bonus,INF761K01074,
110607,BANK OF INDIA Large & Mid Cap Fund Regular Plan- Regular IDCW,INF761K01082,INF761K01090
110608,BANK OF INDIA Large & Mid Cap Fund Eco Plan-Regular IDCW,INF761K01025,INF761K01033
110610,ICICI Prudential S.M.A.R.T.(Structured Methodology Aiming at Returns over Tenure) Fund- Series C-24 Months- Retail Dividend,,
110611,ICICI Prudential S.M.A.R.T.(Structured Methodology Aiming at Returns over Tenure) Fund- Series C-24 Months- Institutional Dividend,,
110612,ICICI Prudential S.M.A.R.T.(Structured Methodology Aiming at Returns over Tenure) Fund- Series C-24 Months- Retail Growth,,
110613,ICICI Prudential S.M.A.R.T.(Structured Methodology Aiming at Returns over Tenure) Fund- Series C-24 Months- Institutional Growth,,
110614,ICICI Prudential S.M.A.R.T.(Structured Methodology Aiming at Returns over Tenure) Fund- Series F-36 Months-Institutional Growth,,
110616,ICICI Prudential S.M.A.R.T.(Structured Methodology Aiming at Returns over Tenure) Fund- Series F-36 Months- Retail Growth,,
110617,ICICI Prudential S.M.A.R.T.(Structured Methodology Aiming at Returns over Tenure) Fund- Series F-36 Months-Retail Dividend,,
110618,Kotak FMP 19M Series 1 - Institutional Growth,,
110619,Kotak FMP 19M Series 1 - Institutional Dividend,,
110620,Kotak FMP 19M Series 1 - Retail Dividend,,
110621,Kotak FMP 19M Series 1 - Retail Growth,,
110622,HDFC FMP 90D October 2008 (3) - RETAIL PLAN GROWTH OPTION,,
110623,HDFC FMP 90D October 2008 (3) - WHOLESALE PLAN GROWTH OPTION,,
110624,HDFC FMP 90D October 2008 (3) - WHOLESALE PLAN DIVIDEND OPTION,,
110625,HDFC FMP 90D October 2008 (3) - RETAIL PLAN DIVIDEND OPTION,,
110632,Reliance Fixed Horizon Fund - XI - Series 1 - Retail Plan-Dividend Option,,
110633,Reliance Fixed Horizon Fund - XI - Series 1 - Institutional Plan-Growth Option,,
110634,Reliance Fixed Horizon Fund - XI - Series 1 - Institutional Plan-Dividend Option,,
110635,Reliance Fixed Horizon Fund - XI - Series 1 - Super Institutional Plan-Growth Option,,
110636,Reliance Fixed Horizon Fund - XI - Series 1 - Retail Plan-Growth Option,,
110637,Reliance Fixed Horizon Fund - XI - Series 1 - Super Institutional Plan-Dividend Option,,
110638,Reliance Fixed Horizon Fund - X - Series 8 - Retail Plan-Dividend Option,,
